ds,y
2008-12-19,23.28023910522461
2008-12-22,22.926843643188477
2008-12-23,22.617612838745117
2008-12-24,22.786951065063477
2008-12-26,22.956289291381836
2008-12-29,22.81639862060547
2008-12-30,23.501113891601562
2008-12-31,23.86924171447754
2009-01-02,24.39198112487793
2009-01-05,24.28154182434082
2009-01-06,24.59076499938965
2009-01-07,23.913414001464844
2009-01-08,23.92813491821289
2009-01-09,23.309688568115234
2009-01-12,22.772228240966797
2009-01-13,22.54398536682129
2009-01-14,21.785655975341797
2009-01-15,21.896087646484375
2009-01-16,22.07278823852539
2009-01-20,20.592920303344727
2009-01-21,21.50587272644043
2009-01-22,21.005226135253906
2009-01-23,21.100940704345703
2009-01-26,21.365991592407227
2009-01-27,21.704668045043945
2009-01-28,22.485088348388672
2009-01-29,21.542686462402344
